"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"9592",9948,"UQAM",3,"Private","Private Yards","Y","Y2094","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",159,"N","N","USDA/TC/LM",""
"9593",9949,"UQAM",3,"Private","Private Yards","Y","Y2094","SY","SYVU","SYVU","Syringa Vulgaris ","Common Lilac",64,"N","N","USDA/TC/Mortens",""
"9594",9950,"UQAM",3,"Private","Private Yards","Y","Y2095","AC","ACSC","ACSC","Acer saccharum","Sugar Maple",959,"Y","Y","TC/LM",""
"9595",9951,"UQAM",3,"Private","Private Yards","Y","Y2095","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",37,"N","N","USDA/TC/LM",""
"9596",9952,"UQAM",3,"Private","Private Yards","Y","Y2095","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",101,"N","N","USDA/TC/LM",""
"9597",9953,"UQAM",3,"Private","Private Yards","Y","Y2095","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",84,"N","N","USDA/TC/LM",""
"9598",9954,"UQAM",3,"Private","Private Yards","Y","Y2095","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",70,"N","N","USDA/TC/LM",""
"9599",9955,"UQAM",3,"Private","Private Yards","Y","Y2095","VI","VIBO","VIBO","Viburnum trilobum","American cranberrybush viburnum ",520,"Y","Y","PFAF",""
"9600",9956,"UQAM",3,"Private","Private Yards","Y","Y2096","SY","SYVU","SYVU","Syringa Vulgaris ","Common Lilac",45,"N","N","USDA/TC/Mortens",""
"9601",9957,"UQAM",3,"Private","Private Yards","Y","Y2096","SY","SYVU","SYVU","Syringa Vulgaris ","Common Lilac",47,"N","N","USDA/TC/Mortens",""
"9602",9958,"UQAM",3,"Private","Private Yards","Y","Y2097","AC","ACPL","ACPL","Acer platanoides","Norway Maple",39,"N","N","USDA/TC",""
"9603",9959,"UQAM",3,"Private","Private Yards","Y","Y2098","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",512,"N","N","USDA/TC/LM",""
"9604",9960,"UQAM",3,"Private","Private Yards","Y","Y2098","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",1031,"N","N","USDA/TC/LM",""
"9605",9961,"UQAM",3,"Private","Private Yards","Y","Y2099","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",881,"N","N","USDA/TC/LM",""
