NO SITE,NUMERO CIVIC,ROUTE/PARC,ETAT SITE,ESSENCE,QUANTITE TRONC,DIAMETRE,TYPE DIAMETRE
4289,23,HOLTON,ARBRE,PICEA PUNGENS,1,,DHP
596,32,AVENUE FORDEN,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
3957,123,THE BOULEVARD,ARBRE,CELTIS OCCIDENTALIS,1,,DHP
3863,590,CÔTE-SAINT-ANTOINE,ARBRE,TILIA AMERICANA,1,,DHP
5726,18,AVENUE FORDEN,ARBRE,ACER PLATANOIDES,1,,DHP
1585,0,PARC WESTMOUNT,ARBRE,TILIA CORDATA,1,,DHP
2839,4447,DE MAISONNEUVE,ARBRE,ACER PLATANOIDES,1,,DHP
4812,602,VICTORIA,ARBRE,ACER PLATANOIDES,1,100,DHP
318,379,CLAREMONT,ARBRE,CELTIS OCCIDENTALISPS,1,10,DHS
4791,655,VICTORIA,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,51,DHP
2203,0,PARC WESTMOUNT,,,0,70,DHS
5908,529,LANSDOWNE,ARBRE,ACER PLATANOIDES,1,,DHP
3690,500,CLAREMONT,ARBRE,ACER PLATANOIDES,1,62,DHP
4361,494,ELM,ARBRE,ACER PLATANOIDES,1,,DHP
396,3118,DAULAC,ARBRE,ULMUS PROPINQUA 'JFS-BIEBERICH' EMERALD SUNSHINE®,1,6,DHP
7046,0,THE BOULEVARD,ARBRE,BETULA PAPYRIFERA,1,27,DHP
3898,615,CARLETON,ARBRE,ACER RUBRUM,1,,DHP
2062,0,CARRÉ PRINCE-ALBERT,ARBRE,AMELAEAGNUS ANGUSTIFOLIACHIER CANADENSIS,1,8,DHP
2355,4350,SHERBROOKE,ARBRE,CELTIS OCCIDENTALISPS,1,7.000000,DHP
7086,52,CERCLE SUMMIT,ARBRE,AMELAEAGNUS ANGUSTIFOLIACHIER CANADENSIS,1,14,DHP
