NO SITE,NUMERO CIVIC,ROUTE/PARC,ETAT SITE,ESSENCE,QUANTITE TRONC,DIAMETRE,TYPE DIAMETRE
5450,435,MOUNT-PLEASANT,SOUCHE,,0,48,DHP
5033,690,VICTORIA,ARBRE,ACER PLATANOIDES,1,29,DHP
1307,0,PARC WESTMOUNT,ARBRE,QUERCUS ALBA,1,,DHP
326,4363,MONTROSE,DESACTIVÉ,,0,,DHP
3410,0,PARC KING GEORGE,ARBRE,CRATAEGUS SP.,1,,DHP
4657,572,CLAREMONT,ARBRE,ACER SACCHARINUM,1,48,DHP
6591,4332,WESTMOUNT,ARBRE,QUERCUS PALUSTRIS,1,,DHP
333,4700,SAINTE-CATHERINE,DESACTIVÉ,,0,,DHP
3419,0,PARC KING GEORGE,ARBRE,PHELLODENDRON AMURENSE,1,,DHP
3682,73,CHESTERFIELD,ARBRE,ACER PLATANOIDES,1,62,DHP
5258,610,CLARKE,ARBRE,ACER SACCHARINUM,1,72,DHP
2488,0,PARC WESTMOUNT,ARBRE,ACER SACCHARINUM,1,7576.000000,DHP
731,0,PARC SELBY,ARBRE,ACER SACCHARINUM,1,,DHP
2484,326,WOOD,ARBRE,ACER PLATANOIDES,1,,DHP
2037,4574,SHERBROOKE,ARBRE,ACER PLATANOIDES,1,,DHP
1463,323,GROSVENOR,ARBRE,ACER SACCHARINUM,1,43,DHP
2386,368,KITCHENER,ARBRE,ACER PLATANOIDESCK,1,,DHP
3878,538,PRINCE-ALBERT,ARBRE,ACER SACCHARUM,1,,DHP
4907,656,ROSLYN,ARBRE,ACER SACCHARINUM,1,77,DHP
2822,4300,DE MAISONNEUVE,ARBRE,ACER PLATANOIDES,1,,DHP
5417,740,LEXINGTON,ARBRE,GINKGO BILOBAPS,1,3,DHP
4643,0,NOTRE-DAME-DE-GRÂCE,ARBRE,TILIA CORDATA,1,56,DHP
1089,0,PROSPECT,ARBRE,QUERCUS RUBRA,2,,DHP
148,5,CÔTE-SAINT-ANTOINE,ARBRE,ACER GINNALAFL,1,,DHP
473,0,TERRAIN D’ATHLÉTISME (WAG),ARBRE,POPULUS TREMULOIDESER,1,,DHP
5444,463,MOUNT-PLEASANT,ARBRE,ACER PLATANOIDES,1,,DHP
4336,497,ELM,ARBRE,ACER RUBRUM,1,,DHP
2717,0,PARC WESTMOUNT,ARBRE,QUERCUS RUBRA,1,,DHP
7151,65,PLACE BELVEDERE,ARBRE,PICEA PUNGENS,1,35,DHP
5488,488,MOUNTAIN,ARBRE,ACER PLATANOIDES,1,,DHP
2104,0,PARC SELBY,ARBRE,ULMUS PUMILA,1,,DHP
3995,4334,WESTMOUNT,ARBRE,ACER PLATANOIDES,1,,DHP
5046,701,VICTORIA,ARBRE,ACER RUBRUM,1,20,DHP
4372,56,DE LAVIGNE,ARBRE,MALUS SP.,1,40.000000,DHP
6511,1092,GREENE,ARBRE,JUGLANS NIGRA,1,53.000000,DHP
2665,368,ELM,ARBRE,GINKGO BILOBA,1,,DHP
5456,450,MOUNT-PLEASANT,ARBRE,ACER PLATANOIDES,1,,DHP
5738,1,MURRAY,ARBRE,SYRINGA RETICULATA,3,,DHP
1409,4800,DE MAISONNEUVE,ARBRE,ACER PLATANOIDES,1,,DHP
1203,0,PARC WESTMOUNT,DISPONIBLE,,0,20,DHS
2585,355,KENSINGTON,ARBRE,AMELAEAGNUS ANGUSTIFOLIACHIER CANADENSIS,1,,DHP
7111,0,CERCLE SUMMIT,ARBRE,PICEA PUNGENS,1,5,DHP
922,50,COLUMBIA,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
4534,473,CÔTE-SAINT-ANTOINE,ARBRE,SYRINGA RETICULATA,1,20,DHP
1341,0,PARC WESTMOUNT,ARBRE,ACER PLATANOIDES,1,,DHP
3717,507,CLAREMONT,ARBRE,ACER PLATANOIDES,1,64,DHP
5056,110,SUNNYSIDE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,37,DHP
4202,0,JARDIN QUEEN ELIZABETH,ARBRE,MALUS SP.,1,,DHP
4743,423,VICTORIA,ARBRE,QUERCUS RUBRA,1,34,DHP
2542,4574,SHERBROOKE,ARBRE,MALUS SP.,1,,DHP
3114,2,PLACE WESTMOUNT (SQUARE),SOUCHE,FRAXINUS PENNSYLVANICA,1,,DHP
2587,4350,SHERBROOKE,DISPONIBLE,QUERCUS ALBA,1,,DHP
442,557,LANSDOWNE,ARBRE,OSTRYA VIRGINIANA,1,9,DHP
1204,0,PARC WESTMOUNT,DISPONIBLE,,0,25,DHS
7134,7,CERCLE SUMMIT,ARBRE,PICEA PUNGENS,1,26,DHP
5334,22,SHORNCLIFFE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,39,DHP
6307,45,JARDIN SURREY,DISPONIBLE,,0,,DHP
3600,66,CROISSANT FORDEN,ARBRE,ACER SACCHARINUM,1,76.000000,DHP
7016,0,LEXINGTON,ARBRE,FRAXINUS SP.,1,10,DHP
2960,134,ABBOTT,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
361,0,DORCHESTER,ARBRE,ACER PLATANOIDES,1,,DHP
588,714,UPPER-ROSLYN,ARBRE,ULMUS X 'NEW HORIZON',0,9,DHP
1468,381,GROSVENOR,DESACTIVÉ,,0,,DHP
1036,0,PARC WESTMOUNT,ARBRE,ACER PLATANOIDES,1,,DHP
3596,62,CROISSANT FORDEN,ARBRE,ACER PLATANOIDES,1,,DHP
2720,0,PARC WESTMOUNT,ARBRE,AMELAEAGNUS ANGUSTIFOLIACHIER CANADENSIS,5,,DHP
3361,0,PARC KING GEORGE,ARBRE,FRAXINUS PENNSYLVANICA,1,,DHP
2049,51,YORK,ARBRE,TILIA AMERICANA,2,23-12,DHP MULTIPLE
3246,4333,SHERBROOKE,ARBRE,CELTIS OCCIDENTALIS,1,,DHP
1705,306,GROSVENOR,ARBRE,ACER PLATANOIDES,1,,DHP
1696,390,GROSVENOR,DESACTIVÉ,,0,,DHP
1292,0,PARC WESTMOUNT,ARBRE,TILIA CORDATA,1,120,DHP
2787,223,MELVILLE,ARBRE,QUERCUS PALUSTRIS,1,,DHP
2840,4449,DE MAISONNEUVE,ARBRE,ACER PLATANOIDES,1,,DHP
1140,57,BRUCE,SOUCHE,,0,,DHS
3169,622,VICTORIA,ARBRE,QUERCUS RUBRA,1,71,DHP
4753,482,VICTORIA,DESACTIVÉ,SYRINGA RETICULATA,1,,DHP
6298,0,PARC OLIVIER,ARBRE,ACER NEGUNDO,3,,DHP
3479,0,PARC KING GEORGE,ARBRE,ROBINIA PSEUDOACACIA,1,,DHP
4959,4742,THE BOULEVARD,ARBRE,SYRINGA RETICULATA,1,11,DHP
321,411,LANSDOWNE,ARBRE,ACER PLATANOIDES,1,,DHP
6759,4848,SAINTE-CATHERINE,ARBRE,,1,,DHP
2381,377,REDFERN,ARBRE,ACER PLATANOIDES,1,,DHP
207,315,CLAREMONT,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,32,DHP
1489,390,VICTORIA,SOUCHE,,0,19,DHS
3081,4185,SAINTE-CATHERINE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
371,0,PARC DORCHESTER-CLARKE,ARBRE,JUGLANS NIGRA,1,,DHP
41,446,MOUNT-PLEASANT,DESACTIVÉ,,0,,DHP
5066,94,SUNNYSIDE,ARBRE,BETULA POPULIFOLIA,3,15-15-15,DHP
6664,36,HOLTON,ARBRE,CERCIS CANADENSIS,1,,DHP
1085,0,PROSPECT,ARBRE,,1,,DHP
5914,495,LANSDOWNE,DISPONIBLE,,0,,DHP
5331,28,OAKLAND,ARBRE,BETULA PENDULA,1,35,DHP
4809,752,UPPER-LANSDOWNE,ARBRE,ALNUS GLUTINOSA,1,9,DHP
5509,405,CLARKE,ARBRE,ACER SACCHARINUM,1,,DHP
6233,38,EDGEHILL,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
7034,12,BELLEVUE,ARBRE,PICEA GLAUCA,1,15,DHP
5521,513,CLARKE,ARBRE,ACER PLATANOIDES,1,67.000000,DHP
1303,0,PARC WESTMOUNT,ARBRE,ACER PLATANOIDES,1,,DHP
172,730,UPPER-LANSDOWNE,ARBRE,TILIA TOMENTOSA,1,10,DHP
1861,4913,DE MAISONNEUVE,SOUCHE,,0,40,DHS
835,0,PROSPECT,ARBRE,ULMUS AMERICANA,2,,DHP
3032,224, METCALFE,DESACTIVÉ,,0,,DHP
4483,0,PARC KING GEORGE,ARBRE,TAXUS SP.,3,,DHP
5649,19,THORNHILL,ARBRE,ACER RUBRUM,1,,DHP
6946,3711,THE BOULEVARD,ARBRE,PICEA GLAUCA,1,22,DHP
4571,552,ROSLYN,ARBRE,ACER PLATANOIDES,1,31,DHP
6190,642,CARLETON,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
4174,0,JARDIN QUEEN ELIZABETH,ARBRE,ACER X FREEMANIIAB,1,,DHP
3344,0,PARC KING GEORGE,ARBRE,CATALPA SPECIOSA,1,,DHP
3843,0,PRINCE-ALBERT,DISPONIBLE,,0,,DHP
2243,0,PARC WESTMOUNT,ARBRE,TILIA AMERICANA,1,,DHP
4208,43,BARAT,ARBRE,ACER PLATANOIDES,1,51.000000,DHP
4662,554,CLAREMONT,ARBRE,TILIA TOMENTOSA,1,8.000000,DHP
6153,8,RENFREW,ARBRE,ACER PLATANOIDES,1,35,DHP
1291,0,PARC WESTMOUNT,ARBRE,MALUS SP.,1,,DHP
1286,0,PARC WESTMOUNT,ARBRE,PICEA PUNGENS,1,,DHP
3608,52,CROISSANT FORDEN,ARBRE,FRAXINUS PENNSYLVANICA,1,54.000000,DHP
4788,4771,SHERBROOKE,DESACTIVÉ,,0,,DHP
6254,0,SUNNYSIDE,ARBRE,ULMUS PUMILA,1,25,DHP
6870,16,Oakland,DISPONIBLE,,0,,DHP
6279,0,JARDIN SURREY,DESACTIVÉ,,0,,DHP
1603,0,PARC WESTMOUNT,ARBRE,PINUS SYLVESTRIS,1,,DHP
1924,3251,SAINT-ANTOINE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
238,0,JARDIN SURREY,DESACTIVÉ,,0,,DHP
4427,0,PARC KING GEORGE,ARBRE,ROBINIA PSEUDOACACIA,1,,DHP
2528,4574,SHERBROOKE,ARBRE,MALUS SP.,1,,DHP
4917,607,ROSLYN,ARBRE,ACER PLATANOIDES,1,27,DHP
5587,24,RAMEZAY,DISPONIBLE,QUERCUS RUBRA,0,,DHP
6146,16,RENFREW,ARBRE,ACER PLATANOIDES,1,,DHP
5184,802,UPPER-LANSDOWNE,ARBRE,ACER SACCHARINUM,1,62,DHP
446,0, METCALFE,ARBRE,ACER PLATANOIDES,1,,DHP
2975,4610,SAINTE-CATHERINE,ARBRE,ACER NEGUNDO,2,,DHP
3400,0,PARC KING GEORGE,ARBRE,ACER PLATANOIDES,1,,DHP
228,65,CHEMIN BELVEDERE,ARBRE,ACER RUBRUM,1,,DHP
4883,629,GROSVENOR,ARBRE,MALUS SP.,1,8,DHP
2766,0,PARC WESTMOUNT,ARBRE,AMELAEAGNUS ANGUSTIFOLIACHIER CANADENSIS,1,,DHP
6616,0,LEXINGTON,DESACTIVÉ,,1,,DHP
2416,375,KITCHENER,ARBRE,ACER X FREEMANIIAB,1,,DHP
5849,492,STRATHCONA,ARBRE,ACER PLATANOIDES,1,,DHP
4663,554,CLAREMONT,ARBRE,ULMUS X 'MORTON' ACCOLADE™,1,15,DHP
6272,9,GORDON,ARBRE,ACER PLATANOIDES,1,49,DHP
5783,218,EDGEHILL,ARBRE,CARPINUS CAROLINIANA,1,3,DHP
2060,5002,SHERBROOKE,ARBRE,SYRINGA RETICULATA,1,6,DHP
6204,619,MURRAY HILL,ARBRE,ACER SACCHARINUM,1,,DHP
4074,525,MOUNT-PLEASANT,ARBRE,ACER SACCHARINUM,1,,DHP
2143,0,PARC WESTMOUNT,ARBRE,PICEA PUNGENS,1,,DHP
4437,0,PARC KING GEORGE,ARBRE,ROBINIA PSEUDOACACIA,1,,DHP
1555,0,PARC WESTMOUNT,ARBRE,ACER PLATANOIDES,1,,DHP
6265,36,CROISSANT SUMMIT,DISPONIBLE,,0,5,DHP
994,0,TERRAIN D’ATHLÉTISME (WAG),ARBRE,ULMUS DAVIDIANA DISCOVERY®,1,,DHP
3071,4201,SAINTE-CATHERINE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
2206,0,PARC WESTMOUNT,ARBRE,ACER PLATANOIDES,1,,DHP
6520,4333,WESTMOUNT,ARBRE,TILIA AMERICANA,1,,DHP
1730,0,SAINTE-CATHERINE,DISPONIBLE,JUGLANS NIGRA,0,,DHP
3214,35,CÔTE-SAINT-ANTOINE,ARBRE,ACER PLATANOIDES,1,,DHP
1470,0,SAINTE-CATHERINE,ARBRE,ULMUS PUMILA,1,,DHP
1844,321,CLAREMONT,ARBRE,TILIA CORDATA,1,65,DHP
1804,260,PRINCE-ALBERT,ARBRE,ACER PLATANOIDES,1,67,DHP
4180,0,JARDIN QUEEN ELIZABETH,ARBRE,GINKGO BILOBA,3,,DHP
849,0,PROSPECT,ARBRE,ACER PLATANOIDES,1,,DHP
1853,40,BURTON,ARBRE,ACER SACCHARUM,1,36,DHP
3787,0,PARC PRINCE ALBERT,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
4619,574,VICTORIA,ARBRE,ACER RUBRUM,1,12,DHP
4448,0,PARC KING GEORGE,ARBRE,ACER NEGUNDO,1,,DHP
2964,127,IRVINE,ARBRE,SORBUS AUCUPARIAFA,1,4.000000,DHP
6929,10,OAKLAND,ARBRE,PICEA PUNGENS,1,33,DHP
3551,0,PARC KING GEORGE,ARBRE,ROBINIA PSEUDOACACIA,1,73.000000,DHP
3124,4251,DE MAISONNEUVE,ARBRE,SYRINGA RETICULATA,1,,DHP
6346,0,JARDIN SURREY,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,28,DHP
3451,0,PARC KING GEORGE,ARBRE,QUERCUS ROBURFA,1,,DHP
1055,47,STAYNER,ARBRE,MAGNOLIA SP.,2,,DHP
2991,4640,SAINTE-CATHERINE,DISPONIBLE,GLEDITSIA TRIACANTHOS VAR. INERMIS 'HARVE' NORTHERN ACCLAIM®,1,,DHP
2530,4574,SHERBROOKE,ARBRE,MALUS SP.,1,,DHP
2054,4864,SHERBROOKE,SOUCHE,,0,,DHP
1268,0,PARC WESTMOUNT,DISPONIBLE,GLEDITSIA TRIACANTHOS VAR. INERMIS,0,50,DHS
5334,22,SHORNCLIFFE,ARBRE,ULMUS AMERICANA,1,32,DHP
4472,0,PARC KING GEORGE,ARBRE,ROBINIA PSEUDOACACIA,1,,DHP
1549,0,PARC WESTMOUNT,ARBRE,PICEA PUNGENS,1,,DHP
3883,506,PRINCE-ALBERT,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
2409,368,KITCHENER,ARBRE,GINKGO BILOBA,1,6.000000,DHP
2374,323,REDFERN,ARBRE,ACER PLATANOIDES,1,,DHP
3679,75,CHESTERFIELD,ARBRE,GINKGO BILOBA,1,18,DHP
4170,3055,SHERBROOKE,ARBRE,ACER SACCHARINUM,1,,DHP
559,499,ELM,ARBRE,ACER SACCHARINUM,1,,DHP
3253,4333,SHERBROOKE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
2014,0,PARC WESTMOUNT,ARBRE,TILIA AMERICANA,1,,DHP
4973,4873,WESTMOUNT,ARBRE,ACER X FREEMANIIAR,1,15,DHP
2687,0,PARC WESTMOUNT,ARBRE,PINUS SYLVESTRIS,1,,DHP
631,100,SUNNYSIDE,ARBRE,ULMUS PUMILA,1,48,DHP
4415,0,PARC KING GEORGE,ARBRE,ROBINIA PSEUDOACACIA,1,79,DHP
3184,0, METCALFE,DISPONIBLE,TSUGA CANADENSIS,1,,DHP
4490,0,PARC KING GEORGE,ARBRE,SYRINGA RETICULATA,1,,DHP
6628,375,KITCHENER,ARBRE,OSTRYA VIRGINIANA,1,5.000000,DHP
2120,0,PARC WESTMOUNT,ARBRE,QUERCUS PALUSTRIS,1,,DHP
834,0,PROSPECT,ARBRE,ULMUS AMERICANA,1,,DHP
5827,458,STRATHCONA,ARBRE,ACER PLATANOIDES,1,,DHP
0,0,,,,0,,
5051,122,SUNNYSIDE,ARBRE,ACER PLATANOIDES,1,87,DHP
3503,0,PARC KING GEORGE,ARBRE,QUERCUS ALBA,1,,DHP
3987,39,ABERDEEN,SOUCHE,ACER SACCHARUM,1,30,DHP
5909,529,LANSDOWNE,ARBRE,ACER PLATANOIDES,1,,DHP
2756,0,PARC WESTMOUNT,ARBRE,AMELAEAGNUS ANGUSTIFOLIACHIER CANADENSIS,13,,DHP
3761,0,PARC PRINCE ALBERT,ARBRE,ACER PLATANOIDES,2,,DHP
5847,4585,SHERBROOKE,ARBRE,GINKGO BILOBAPS,1,,DHP
3619,67,CROISSANT FORDEN,ARBRE,ACER PLATANOIDES,1,,DHP
258,731,UPPER-ROSLYN,ARBRE,ACER X FREEMANIIAB,1,19,DHP
4522,403,CÔTE-SAINT-ANTOINE,ARBRE,ACER SACCHARINUM,1,32,DHP
1350,0,ACADEMY,ARBRE,ACER PLATANOIDESCO,1,,DHP
2539,4574,SHERBROOKE,ARBRE,MALUS SP.,2,,DHP
5472,4255,SHERBROOKE,ARBRE,ACER PLATANOIDESCO,2,,DHP
5350,789,LEXINGTON,ARBRE,ACER PLATANOIDES,1,33,DHP
4528,473,CÔTE-SAINT-ANTOINE,ARBRE,PICEA PUNGENS,1,,DHP
2927,90,AVENUE HILLSIDE,ARBRE,TILIA CORDATA,1,,DHP
2885,225,OLIVIER,ARBRE,ACER SACCHARINUM,1,,DHP
252,71,CROISSANT BELMONT,ARBRE,ACER X FREEMANIIAB,1,,DHP
6522,1,WOOD,ARBRE,ACER PLATANOIDES,1,,DHP
6339,8,GORDON,ARBRE,PICEA PUNGENS,1,21,DHP
2248,0,PARC WESTMOUNT,ARBRE,AESCULUS X CARNEA,1,,DHP
5205,761,UPPER-LANSDOWNE,ARBRE,MALUS SP.,1,6,DHP
2856,238,REDFERN,ARBRE,ACER SACCHARINUM,1,,DHP
5362,88,CROISSANT SUMMIT,ARBRE,SYRINGA RETICULATA,1,18,DHP
5815,489,STRATHCONA,ARBRE,ACER PLATANOIDES,1,,DHP
6071,640,BELMONT,ARBRE,OSTRYA VIRGINIANA,1,,DHP
4344,449,ELM,ARBRE,ACER PLATANOIDES,1,,DHP
4781,448,GROSVENOR,ARBRE,MALUS SP.,1,18,DHS
4453,0,PARC KING GEORGE,ARBRE,PICEA PUNGENS,1,,DHP
2405,365,KITCHENER,ARBRE,ACER PLATANOIDES,1,,DHP
1147,0,JARDIN D'ENFANTBRUCE,ARBRE,ACER PLATANOIDES,1,,DHP
5530,476,MOUNT-PLEASANT,ARBRE,ACER SACCHARINUM,1,,DHP
899,4064,DORCHESTER,ARBRE,ACER PLATANOIDESCO,1,,DHP
5192,820,UPPER-BELMONT,ARBRE,PICEA PUNGENS,1,45,DHP
4309,23,HOLTON,ARBRE,PICEA ABIES,1,,DHP
1978,0,PARC WESTMOUNT,ARBRE,ACER X FREEMANIIAB,1,,DHP
5700,95,CÔTE-SAINT-ANTOINE,ARBRE,ACER PLATANOIDES,1,,DHP
4847,617,VICTORIA,ARBRE,ACER RUBRUM,1,32,DHP
6878,432,ROSLYN,ARBRE,ACER PLATANOIDES,1,76,DHP
801,51,CLANDEBOYE,DESACTIVÉ,,0,,DHP
4424,0,PARC KING GEORGE,ARBRE,QUERCUS ALBA,1,,DHP
3611,32,AVENUE FORDEN,DESACTIVÉ,,1,,DHP
889,0,PARC DORCHESTER-CLARKE,ARBRE,ULMUS AMERICANA,1,,DHP
6847,0,PARC WESTMOUNT,ARBRE,MALUS SP.,1,,DHP
6081,627,BELMONT,ARBRE,ACER PLATANOIDES,1,,DHP
6496,70,GORDON,DESACTIVÉ,,1,,DHP
2652,4200,SHERBROOKE,ARBRE,ACER PLATANOIDES,1,,DHP
1968,0,PARC WESTMOUNT,ARBRE,ACER PLATANOIDESCK,1,,DHP
2737,0,PARC WESTMOUNT,ARBRE,AMELAEAGNUS ANGUSTIFOLIACHIER CANADENSIS,8,,DHP
1343,0,PARC WESTMOUNT,ARBRE,QUERCUS RUBRA,1,,DHP
3867,584,CÔTE-SAINT-ANTOINE,ARBRE,ACER PLATANOIDES,1,,DHP
2468,333,ELM,ARBRE,ACER X FREEMANIIAB,1,,DHP
1218,0,PARC WESTMOUNT,DISPONIBLE,,0,70,DHS
1932,0,PARC WESTMOUNT,ARBRE,LIRIODENDRON TULIPIFERA,1,,DHP
5896,108,ARLINGTON,ARBRE,ACER SACCHARINUM,1,,DHP
769,758,LEXINGTON,SOUCHE,,0,74,DHS
1160,0,TERRAIN D’ATHLÉTISME (WAG),SOUCHE,ACER RUBRUM,1,54,DHP
4968,4760,THE BOULEVARD,ARBRE,ACER PLATANOIDES,1,36,DHP
4594,575,ROSLYN,ARBRE,ACER SACCHARINUM,1,93,DHP
5940,422,LANSDOWNE,ARBRE,SYRINGA RETICULATA,1,,DHP
2988,114,BLENHEIM,ARBRE,ACER PLATANOIDES,1,,DHP
7143,20,CROISSANT SUMMIT,ARBRE,TILIA CORDATA,1,18,DHP
2287,0,SHERBROOKE,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS SHADEMASTER®,1,,DHP
810,4064,DORCHESTER,ARBRE,ACER SACCHARINUM,1,,DHP
4062,525,MOUNT-PLEASANT,ARBRE,ACER PLATANOIDES,1,,DHP
1952,0,PARC WESTMOUNT,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
4779,460,GROSVENOR,ARBRE,ACER PLATANOIDESCK,1,26,DHP
1299,0,PARC WESTMOUNT,ARBRE,GLEDITSIA TRIACANTHOS VAR. INERMIS,1,,DHP
6083,627,BELMONT,ARBRE,ACER SACCHARUM,1,,DHP
6244,58,SUNNYSIDE,ARBRE,QUERCUS ROBUR,1,28,DHP
6072,638,BELMONT,ARBRE,ACER SACCHARINUM,1,,DHP
1914,1114,GREENE,ARBRE,TILIA AMERICANA,1,5.000000,DHP
1976,0,PARC WESTMOUNT,ARBRE,TILIA AMERICANA,1,,DHP
1723,0,SAINTE-CATHERINE,ARBRE,PICEA PUNGENSGL,1,,DHP
6163,18,GRENVILLE,ARBRE,ACER RUBRUM,1,,DHP
2217,0,PARC WESTMOUNT,ARBRE,PINUS NIGRA VAR. 'AUSTRIACA',1,,DHP
3473,0,PARC KING GEORGE,ARBRE,ROBINIA PSEUDOACACIA,1,,DHP
2428,310,CLARKE,ARBRE,ACER PLATANOIDES,1,,DHP
279,19,BARAT,DESACTIVÉ,,0,,DHP
246,4333,SHERBROOKE,DESACTIVÉ,,0,,DHP
2513,223,MELVILLE,ARBRE,ACER PLATANOIDES,1,,DHP
52,4827,DE MAISONNEUVE,ARBRE,ULMUS PUMILA,2,14-14,DHP MULTIPLE
57,503,VICTORIA,ARBRE,TILIA MONGOLICA HARVEST GOLD®,1,10,DHP
4861,656,GROSVENOR,ARBRE,ACER SACCHARINUM,1,66,DHP
1811,4912,SHERBROOKE,ARBRE,ACER PLATANOIDESCO,1,28,DHP
2735,0,PARC WESTMOUNT,ARBRE,AMELAEAGNUS ANGUSTIFOLIACHIER CANADENSIS,1,,DHP
3255,4333,SHERBROOKE,ARBRE,SYRINGA RETICULATA,1,,DHP
7155,3793,THE BOULEVARD,ARBRE,GINKGO BILOBA,1,8,DHP
5528,474,MOUNT-PLEASANT,ARBRE,ACER PLATANOIDES,1,,DHP
4745,414,VICTORIA,ARBRE,ACER NEGUNDO,3,,DHP
5600,4314,MONTROSE,DISPONIBLE,,0,,DHP
406,4574,SHERBROOKE,ARBRE,TILIA AMERICANA,1,54,DHP
569,725,UPPER-LANSDOWNE,ARBRE,ACER PLATANOIDES,1,54,DHP
4810,751,UPPER-LANSDOWNE,ARBRE,GINKGO BILOBA,1,7.000000,DHP
726,0,PARC SELBY,DESACTIVÉ,,0,,DHP
5505,8,PARC GROVE,DISPONIBLE,,0,,DHP
483,0,TERRAIN D’ATHLÉTISME (WAG),DESACTIVÉ,POPULUS DELTOIDES,1,,DHP
741,0,TERRAIN D’ATHLÉTISME (WAG),SOUCHE,,0,,DHP
1018,0,PARC WESTMOUNT,ARBRE,ACER SACCHARINUM,1,,DHP
4629,4874,WESTMOUNT,ARBRE,ACER X FREEMANIIAB,1,28,DHP
2979,4628,SAINTE-CATHERINE,ARBRE,ACER PLATANOIDES,1,34,DHP
2489,0,PARC WESTMOUNT,ARBRE,TILIA CORDATA,1,,DHP
3864,590,CÔTE-SAINT-ANTOINE,ARBRE,ACER PLATANOIDESDR,1,,DHP
5516,455,CLARKE,ARBRE,ACER PLATANOIDES,1,76.000000,DHP
3605,47,CROISSANT FORDEN,ARBRE,ROBINIA PSEUDOACACIA,2,127.000000,DHP
1090,0,PROSPECT,ARBRE,QUERCUS RUBRA,1,,DHP
1840,84,SOMERVILLE,ARBRE,ULMUS X 'MORTON' ACCOLADE™,1,7,DHP
6234,30,EDGEHILL,ARBRE,SYRINGA RETICULATA,1,,DHP
2356,4342,SHERBROOKE,ARBRE,ACER SACCHARINUM,1,,DHP
776,205,VICTORIA,ARBRE,SYRINGA RETICULATA,1,,DHP
5325,36,OAKLAND,ARBRE,PICEA PUNGENSGL,1,21,DHP
1855,317,CLAREMONT,ARBRE,ACER PLATANOIDESCO,1,38,DHP
5293,776,LEXINGTON,ARBRE,ACER X FREEMANIIMA,0,8.000000,DHP
5492,4287,SHERBROOKE,ARBRE,ACER PLATANOIDES,1,,DHP
3764,0,PARC PRINCE ALBERT,ARBRE,ACER RUBRUM,1,,DHP
5349,789,LEXINGTON,ARBRE,ACER PLATANOIDES,1,23,DHP
1410,4800,DE MAISONNEUVE,ARBRE,ACER SACCHARINUM,1,,DHP
2977,4620,SAINTE-CATHERINE,ARBRE,ACER PLATANOIDESCO,1,,DHP
2724,0,PARC WESTMOUNT,ARBRE,AMELAEAGNUS ANGUSTIFOLIACHIER CANADENSIS,7,,DHP
6621,0,PARC STAYNER,ARBRE,OSTRYA VIRGINIANA,1,,DHP
2380,359,REDFERN,ARBRE,CORYLUS COLURNA,1,6.000000,DHP
4719,406,CÔTE-SAINT-ANTOINE,DISPONIBLE,,0,,DHP
6991,24,CROISSANT SUMMIT,ARBRE,PICEA PUNGENS,0,3,DHP
3816,4,CHESTERFIELD,ARBRE,QUERCUS PALUSTRIS,1,5,DHP
38,4380,DE MAISONNEUVE,ARBRE,ACER SACCHARINUM,1,81,DHP
7101,0,CERCLE SUMMIT,ARBRE,PICEA PUNGENS,1,13,DHP
2736,0,PARC WESTMOUNT,ARBRE,AMELAEAGNUS ANGUSTIFOLIACHIER CANADENSIS,10,,DHP
2274,0,PARC WESTMOUNT,ARBRE,SYRINGA RETICULATA,1,,DHP
5274,3617,THE BOULEVARD,ARBRE,ACER PLATANOIDES,1,26,DHP
3401,0,PARC KING GEORGE,ARBRE,ACER PLATANOIDES,1,,DHP
961,87,HALLOWELL,DISPONIBLE,TILIA TOMENTOSA,1,,DHP
2348,327,KENSINGTON,ARBRE,BETULA PAPYRIFERA,1,,DHP
511,0,PARC WESTMOUNT,SOUCHE,,0,,DHP
1417,359,ROSLYN,ARBRE,QUERCUS RUBRA,1,,DHP
6892,44,YORK,ARBRE,ACER PLATANOIDES,1,71,DHP
806,73,CLANDEBOYE,ARBRE,CELTIS OCCIDENTALIS,1,,DHP
