fid,OBJECTID,SITE_REF,GlobalID_2,NUM_CIVIC,VOIE_ESPVT,ETAT_SITE,ESSENCE,QUE_TR,DIST_CHAIN,LIGN_RUE,DIAMETRE,TYPE_EMP,PROPRIETE,STATUT,RENFORT_1,RENFORT_2,OBST_1,OBST_2,PB_INS,PB_MAL,PB_STR_1,PB_STR_2,PB_PHY_AB,COD_GEN,DANGEREUX,CMTS,PRESC_PLAN,PRESC_PRIO,PRESC_ID,PRESC_CMTS,INV_REAL,INV_DATE,INV_ID,DESC_COMM,TYP_DIAM
"167","1196","1208",{765ACEA0-9203-4BC1-BC82-2A41AA2F6E88},"0",VOPA_100,ARBRE,THOC,"3",,,"35,28,24",PARC,PUB,AUC,AUC,AUC,CLOT,AUTRE,AUC,AUC,FAETR,AUC,AUC,"70",NON,bassin en béton,AUC,,, ,O,2021-10-05T20:40:07.000,TVJV,,DHP_X
"168","1199","1211",{0CD82864-94CD-4A89-A61F-F74EE6EF4443},"0",VOPA_100,ARBRE,TSCA,,,,"7",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"100",NON,,ARROSA,2021,WESTHA,,N,,,,DHP
"169","1200","1212",{C56B3EA4-6516-4D8A-ABC6-C6339B5C9488},"0",VOPA_100,ARBRE,SAALTR,,,,"7",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"100",NON,,ARROSA,2021,WESTHA,,N,,,,DHP
"170","1201","1213",{19A9F25F-3D26-4AAC-99F1-EC3D702CB7C7},"0",VOPA_100,ARBRE,ACSC,"1",,,"24",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"75",NON, ,AUC,,, ,O,2021-10-05T20:41:51.000,TVJV,,DHP
"171","1202","1214",{2B08517A-B00B-40E9-A63B-05D83AB1E266},"0",VOPA_100,ARBRE,ULAM,"1",,,"34",PARC,PUB,AUC,AUC,AUC,AUTRE,AUC,AUC,AUC,FAETR,AUC,AUC,"70",NON,Mur de bassin,AUC,,, ,O,2021-10-05T20:51:42.000,TVJV,,DHP
"172","1205","1217",{E947A0EA-6642-49B1-989F-DEAB1027B7DF},"0",VOPA_100,ARBRE,THOC,"2",,,"32,7",PARC,PUB,AUC,AUC,AUC,AUTRE,AUC,AUC,AUC,AUC,AUC,AUC,"70",NON,Mur de bassin,AUC,,, ,O,2021-10-05T20:53:15.000,TVJV,,DHP_X
"173","1209","1221",{C0F6F1E7-7EC1-4830-AD64-D755EE7A8280},"0",VOPA_100,ARBRE,PNNIAU,"1",,,"29",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"70",NON,"trous de pic, écoulement",AUC,,, ,O,2021-10-05T16:13:29.000,TVJV,,DHP
"174","1210","1222",{3878F354-9F76-4D51-BA6C-262422BD5E51},"0",VOPA_100,ARBRE,PNSY,"1",,,"23",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,DEP50,"50",NON,"dÃ©perisement, trous de pic, écoulement",AUC,,, ,O,2021-10-05T16:15:29.000,TVJV,,DHP
"175","1211","1223",{B7AEA799-C2A5-4032-BFB8-8053A6E6C206},"0",VOPA_100,ARBRE,THOC,"3",,,"32,27,26",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,FAETR,AUC,AUC,"75",NON, ,HAFLSD,2023,TVERTE, ,O,2021-10-05T16:18:19.000,TVJV,,DHP_X
"176","1212","1224",{2422234D-56B3-487B-8EC6-339D67F02094},"0",VOPA_100,ARBRE,,"1",,,"27",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,DEP25,"65",NON,Picea omorika,AUC,,, ,O,2021-10-05T16:19:50.000,TVJV,,DHP
"177","1213","1225",{02F51774-EF0C-466A-8E77-23A97E519E42},"0",VOPA_100,,,"1",,,,PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"30",NON,"dÃ©perisement, Ã©coulement, branches mortes",AUC,,, ,O,2021-10-05T16:25:04.000,TVJV,,DHP
"178","1214","1226",{7DEF3651-0F26-49F1-AAF3-44501DCCD285},"0",VOPA_100,SOUCHE,PNSY,"1",,,"27",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,"30",NON,branches mortes,ESDECH,,, ,O,2021-10-05T16:23:00.000,TVJV,,DHS
"179","1215","1227",{154889AF-6978-4D81-8518-51EA51A4A1B7},"0",VOPA_100,ARBRE,PNSY,"1",,,"17",PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,PEUCI,"60",NON,,AUC,,, ,O,2021-10-05T16:22:38.000,TVJV,,DHP
