FID,OBJECTID,SITE_REF,GlobalID_2,NUM_CIVIC,VOIE_ESPVT,ETAT_SITE,ESSENCE,QUE_TR,DIST_CHAIN,LIGN_RUE,DIAMETRE,TYPE_EMP,PROPRIETE,STATUT,RENFORT_1,RENFORT_2,OBST_1,OBST_2,PB_INS,PB_MAL,PB_STR_1,PB_STR_2,PB_PHY_AB,COD_GEN,DANGEREUX,CMTS,PRESC_PLAN,PRESC_PRIO,PRESC_ID,PRESC_CMTS,INV_REAL,INV_DATE,INV_ID,DESC_COMM,TYP_DIAM,ATTACHMENT,REL_GLOBAL,CONTENT_TY,ATT_NAME,DATA_SIZE,GLOBALID
31,4159,4192,{42FBBEDB-36F5-4B38-883E-A1360610B4A6},0,VOPA_066,ARBRE,GIBI,1,0.000000000000000,0.000000000000000,26,PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,80,NON, ,AUC,0.000000000000000, , ,O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
32,4160,4193,{E6377442-7B18-4E06-BAC3-9D26C929A37E},0,VOPA_066,ARBRE,GIBI,1,0.000000000000000,0.000000000000000,18,PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,80,NON, ,AUC,0.000000000000000, , ,O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
33,4161,4194,{524A11B5-EAE7-4B3A-A645-6AA11EB742EF},0,VOPA_066,ARBRE,MASP,1,0.000000000000000,0.000000000000000,29,PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,75,NON, ,AUC,0.000000000000000, , ,O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
34,4162,4195,{97DF77C0-7F75-4D2F-9656-C58539D8205C},0,VOPA_066,ARBRE,MASP,1,0.000000000000000,0.000000000000000,19,EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,INCTR,AUC,AUC,70,NON, ,AUC,0.000000000000000, , ,O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
35,4163,4196,{47105FF1-A42E-43D9-A105-0435A93DA0A2},0,VOPA_066,ARBRE,FRPE,1,0.000000000000000,0.000000000000000,69,PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,80,NON,Treeazin,INSPRE,2022.000000000000000,TVERTE,Traitement possible. Suivre ADF,O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
36,4164,4197,{E74DBB51-7028-4D9E-A53D-01F78947935D},0,VOPA_066,ARBRE,QUAL,1,0.000000000000000,0.000000000000000,94,PARC,PUB,INTAGE,AUC,AUC,AIRJEN,AUC,AUC,AUC,CHICI,AUC,AUC,70,NON, ,ELASSA,2023.000000000000000,TVERTE, ,O,2021-10-04 0:00:00,TVJV, commémorative à la reine Elizabeth II (voir photo),DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
37,4165,4198,{78C16386-A726-4C90-83AB-229D06F93EB8},0,VOPA_066,ARBRE,ACSA,1,0.000000000000000,0.000000000000000,74,PARC,PUB,AUC,AUC,AUC,AIRJEN,AUC,AUC,AUC,CVSBC,FOFBC,BRABS,55,NON," faiblesse d'embranchement fourche primaire, bois mort et branches croisés en cime et racine encerclante",HAFLSS,2022.000000000000000,TVERTE, assainissement aussi et allègement branche secondaire centrale au dessus du cavité important,O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
38,4166,4199,{4A64D136-83DA-4811-9384-1AB59B2916E8},0,VOPA_066,ARBRE,SASP,1,0.000000000000000,0.000000000000000,82,PARC,PUB,AUC,AUC,AUC,AIRJEN,AUC,AUC,AUC,FAETR,BRPCI,BRABS,70,NON, bois mort,HAFLSD,2023.000000000000000,TVERTE,haubanage en X avec élagage complet (assainissement et allègement),O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
39,4167,4200,{4D47913F-8C1E-435F-8344-6582559F76B3},0,VOPA_066,ARBRE,ACPLCK,1,0.000000000000000,0.000000000000000,20,PARC,PUB,COMME,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,75,NON, ,AUTRE,2023.000000000000000,TVERTE,chaine encastré au tronc,O,2021-10-04 0:00:00,TVJV,Lois Flemming Engels 19261991,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
40,4168,4201,{9ED76282-4A8E-459C-962F-D1D962AB531F},0,VOPA_066,ARBRE,MASP,2,0.000000000000000,0.000000000000000,28,PARC,PUB,COMME,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,80,NON, ,AUC,0.000000000000000, , ,O,2021-10-04 0:00:00,TVJV,Claudia Colletti,DHS,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
41,4169,4202,{D2302838-5375-4D4F-8CBB-844F83F01486},0,VOPA_066,ARBRE,MASP,1,0.000000000000000,0.000000000000000,28,PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,75,NON, ,AUC,0.000000000000000, , ,O,2021-10-04 0:00:00,TVJV, ,DHS,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
42,4170,4203,{4C038574-C2D7-4690-AF08-9C59468724A0},0,VOPA_066,ARBRE,ACSA,1,0.000000000000000,0.000000000000000,78,PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,80,NON, ,AUC,0.000000000000000, , ,O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
43,4171,4204,{16D98336-D80C-44A1-BB1C-02CC41AA9880},0,VOPA_066,DISPO, ,0,0.000000000000000,0.000000000000000,70,EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,0,NON, ,PLANTA,2022.000000000000000,WESTHA,Profond,N,, , ,DHS,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
44,4172,4205,{6C8B0BB7-968C-4497-A532-DEFD21A132D4},0,VOPA_066,ARBRE,ACSA,1,0.000000000000000,0.000000000000000,75,PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,FOFTR,BLSBC,AUC,65,NON, ,HAFLSS,2022.000000000000000,TVERTE, ,O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
45,4173,4206,{7C6E6375-FB28-4D2F-A1E4-E37AABA48A48},0,VOPA_066,ARBRE,ACRU,1,0.000000000000000,0.000000000000000,19,PARC,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,BLMTR,70,NON, ,AUC,0.000000000000000, , ,O,2021-10-04 0:00:00,TVJV, ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
46,6642,6706,{E67A4C20-999C-4C62-AD0E-40CC916D5F56},0,VOPA_066,ARBRE,GYDI,1,0.000000000000000,0.000000000000000, ,EMPRI,PUB,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,AUC,0,NON, ,AUC,0.000000000000000, , ,N,, , ,DHP,0,{00000000-0000-0000-0000-000000000000}, , ,0,{00000000-0000-0000-0000-000000000000}
