fid,ObjectId,GS Type,Sample Site,No_civique,Species Code,Species Latin,ESSENCE_AN,DBH,Date_relev,Longitude,Latitude,GlobalID
907,40303,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,13,12/11/2019 12:00:00 AM,-73.578256,45.491526,a7fb3532-1dfa-4ead-8fa8-75b09a4e5662
908,40304,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,14,12/11/2019 12:00:00 AM,-73.578337,45.491575,de8f971d-f155-4b6b-a659-15468429338e
909,40305,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,15,12/11/2019 12:00:00 AM,-73.578421,45.491619,fb47f67f-dac6-409d-ba26-49395b79e84c
910,40306,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,16,12/11/2019 12:00:00 AM,-73.578496,45.491665,1be060c2-e36b-4afb-8c37-87ce0b1e0301
911,40307,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,14,12/11/2019 12:00:00 AM,-73.578577,45.491713,a16d0b9a-c370-448c-9629-a5701ba00de6
912,40308,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,14,12/11/2019 12:00:00 AM,-73.578645,45.491766,b8b55af0-a74a-487e-9d3f-7e6a0b0c5708
4322,195945,Street,Avenue Atwater,N/A,ACPLDE,Acer platanoides 'Deborah',Deborah Norway Maple,5,4/20/2010 12:00:00 AM,-73.586965,45.490624,9d90a5e0-3639-4086-b50f-c2d573066b58
4224,195475,Street,Avenue Atwater,2021,ACPLEQ,Acer platanoides 'Emerald Queen',Emerald Queen Norway Maple,6,1/23/2012 12:00:00 AM,-73.586565,45.490661,17c38087-d415-4bb3-94ec-e472d3cd85c8
4326,195949,Street,Avenue Atwater,N/A,ACPLEQ,Acer platanoides 'Emerald Queen',Emerald Queen Norway Maple,11,1/23/2012 12:00:00 AM,-73.586799,45.490528,c66a30ea-22dd-4788-aa65-509b6a7db069
12821,204445,Street,Rue Saint-Mathieu,1185,ACPLEQ,Acer platanoides 'Emerald Queen',Emerald Queen Norway Maple,5,1/10/2012 12:00:00 AM,-73.57747,45.492913,84463759-362b-4326-8682-1b06c612ef36
13040,204264,Street,Rue Saint-Mathieu,1220,ACPLEQ,Acer platanoides 'Emerald Queen',Emerald Queen Norway Maple,7,1/10/2012 12:00:00 AM,-73.578086,45.493066,11d32f1f-6340-41e2-9a38-c6f482ad4265
13214,204446,Street,Rue Saint-Mathieu,1185,ACPLEQ,Acer platanoides 'Emerald Queen',Emerald Queen Norway Maple,26,1/10/2012 12:00:00 AM,-73.577573,45.492971,6f9cb94b-bd6f-4221-acfa-f0f24591d340
14211,205046,Street,Rue Sherbrooke Ouest,2162,ACPLEQ,Acer platanoides 'Emerald Queen',Emerald Queen Norway Maple,6,3/6/2012 12:00:00 AM,-73.586314,45.492304,c540b6c1-84a6-4761-ade2-5cc2f0136138
14338,205173,Street,Rue Towers,1420,ACPLEQ,Acer platanoides 'Emerald Queen',Emerald Queen Norway Maple,14,4/12/2012 12:00:00 AM,-73.581971,45.492865,f1efb16f-2228-4fa1-8f15-47bcc5ba7b54
