"","x"
"131","ACPL"
"132","QUMA"
"133","ACSC"
"134","ACSC"
"135","PIPU"
"136","PNNI"
"137","ACPL"
"138","PNNI"
"139","PNNI"
"140","PIAB"
"141","PIPU"
"142","PIAB"
"143","PNNI"
"144","PNST"
"145","ACNE"
"146","PIPU"
"147","PNNI"
"148","PIPU"
"149","PIPU"
"150","PIGL"
"151","ACSA"
"152","PNNI"
"153","PIGL"
"154","PNNI"
"155","PIGL"
"156","PIGL"
"157","PIGL"
"158","QURU"
"159","PNNI"
"160","PNNI"
"161","PNNI"
"162","PNNI"
"163","PIPU"
"164","THOC"
"165","PIAB"
"166","PIPU"
"167","QURU"
"168","QURU"
"169","PNNI"
"170","PNNI"
"171","PRVI"
"172","PIGL"
"173","PRVI"
"174","PIGL"
"175","PRVI"
"176","PIGL"
"177","PRVI"
"178","ACSA"
"179","PNNI"
"180","ACSA"
"181","GLTR"
"182","PIAB"
"183","PNNI"
"184","PNNI"
"185","PIAB"
"186","PIAB"
"187","PNNI"
"188","PNNI"
"189","ULRU"
"190","PIAB"
"191","PIAB"
"192","PIAB"
"193","PNNI"
"194","PNNI"
"195","PIPU"
"196","ACSA"
"197","ACSA"
"198","FRPE"
"199","ACSA"
"200","PRVI"
"201","ACRU"
"202","TACA"
"203","TACA"
"204","EUAL"
"205","TIAM"
"206","EUAL"
"207","TACA"
"208","EUAL"
"209","THOC"
"210","THOC"
"211","THOC"
"212","EUAL"
"213","THOC"
"214","TACA"
"215","TACA"
"216","THOC"
"217","TACA"
"218","THOC"
"219","TACA"
"220","ACSC"
"221","ACSA"
"222","ACPL"
"223","PIPU"
"224","PIPU"
"225","ACFR"
"226","TICO"
"227","ELAN"
"228","ACSA"
"229","QUMA"
"230","ACSA"
"231","ACPL"
"232","ACSA"
"233","ACPL"
"234","ACPL"
"235","TICO"
"236","ACSA"
"237","PIPU"
"238","PIPU"
"239","QURU"
"240","ACPL"
"241","ACFR"
"242","ACPL"
"243","ACPL"
"244","ACPL"
"245","ACPL"
"246","ACPL"
"247","ACPL"
"248","ACSA"
"249","ACPL"
"250","ACPL"
"251","ACFR"
"252","ACPL"
"253","ACFR"
"254","ACPL"
"255","ACPL"
"256","ACPL"
"257","ACPL"
"258","ACPL"
"259","ACPL"
"260","ACPL"
"261","ACPL"
"262","ACPL"
"263","ACPL"
"264","ACPL"
"265","ACSA"
"266","ACSA"
"267","ACPL"
"268","TACA"
"269","TICO"
"270","TICO"
"271","AEHI"
"272","AEHI"
"273","AEHI"
"274","THOC"
"275","THOC"
"276","MOAL"
"277","PIGL"
"278","THOC"
"279","THOC"
"280","THOC"
"281","ACSA"
"282","ACPL"
"283","THOC"
"284","THOC"
"285","THOC"
"286","THOC"
"287","THOC"
"288","THOC"
"289","THOC"
"290","THOC"
"291","THOC"
"292","THOC"
"293","THOC"
"294","TACA"
"295","TACA"
"296","TACA"
"297","ACPL"
"298","RHCA"
"299","ACNE"
"300","ACPL"
"301","MOAL"
"302","TICO"
"303","ACSA"
"304","ACPL"
"305","ACPL"
"306","PRVI"
"307","FRPE"
"308","SADI"
"309","TIAM"
"310","PIAB"
"311","ULRU"
"312","TIAM"
"313","PIPU"
"314","ACSC"
"315","RHTY"
"316","MOAL"
"317","PIAB"
"318","ACPL"
"319","RHTY"
"320","ACSA"
"321","ACPL"
"322","TICO"
"323","PNST"
"324","QUMA"
"325","FAGR"
"326","ACSC"
"327","JUNI"
"328","ACSC"
"329","PIGL"
"330","ACPL"
"331","ACSA"
"332","ACSA"
"333","QURU"
"334","ACSC"
"335","ACRU"
"336","QURU"
"337","CEOC"
"338","TIAM"
"339","PNNI"
"340","ACPL"
"341","ACSA"
"342","ACPL"
"343","ACSA"
"344","GLTR"
"345","AMCA"
"346","PIPU"
"347","PODE"
"348","ACFR"
"349","ACSA"
"350","PRCE"
"351","TICO"
"352","MASY"
"353","PNST"
"354","AEHI"
"355","ACSA"
"356","TICO"
"357","ACSA"
"358","ACSA"
"359","THOC"
"360","THOC"
"361","THOC"
"362","THOC"
"363","TICO"
"364","ACPL"
"365","ACPL"
"366","ACPL"
"367","ACPL"
"368","ACPL"
"369","ACPL"
"370","ACGI"
"371","ACPL"
"372","ACPL"
"373","ACSA"
"374","ACSA"
"375","ACPL"
"376","TICO"
"377","ACSA"
"378","ACSA"
"379","ACSA"
"380","ACSA"
"381","TIAM"
"382","ACSA"
"383","QURU"
"384","ACSC"
"385","AEHI"
"386","SYVU"
"387","ACSA"
"388","SYVU"
"389","SYVU"
"390","ACPL"
"391","FRPE"
"392","THOC"
"393","THOC"
"394","THOC"
"395","THOC"
"396","TICO"
"397","TICO"
"398","AEHI"
"399","PNST"
"400","MASY"
"401","FRPE"
"402","FRPE"
"403","PIPU"
"404","ACNE"
