fid,ObjectId,GlobalID,Date_relev,Classification,GS Type,Sample Site,No_civique,Site Code,DBH,Species Code,Species_Common,Species Latin,Genus,Latitude,Longitude,Area_Site
904,40300,e701b493-d4e6-4a1d-8a48-8e0052aa3325,12/11/2019 12:00:00 AM,Public,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,S73,14,ACPLDE,Deborah Norway Maple,Acer platanoides 'Deborah',Acer,45.49139,-73.578015,723.3600645
905,40301,00b28b84-9c13-4d68-89bf-d793db04d831,12/11/2019 12:00:00 AM,Public,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,S73,15,ACPLDE,Deborah Norway Maple,Acer platanoides 'Deborah',Acer,45.491438,-73.578099,723.3600645
906,40302,2fa08075-1975-420e-9136-5b7057d2d840,12/11/2019 12:00:00 AM,Public,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,S73,16,ACPLDE,Deborah Norway Maple,Acer platanoides 'Deborah',Acer,45.491481,-73.578177,723.3600645
907,40303,a7fb3532-1dfa-4ead-8fa8-75b09a4e5662,12/11/2019 12:00:00 AM,Public,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,S73,13,ACPLDE,Deborah Norway Maple,Acer platanoides 'Deborah',Acer,45.491526,-73.578256,723.3600645
908,40304,de8f971d-f155-4b6b-a659-15468429338e,12/11/2019 12:00:00 AM,Public,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,S73,14,ACPLDE,Deborah Norway Maple,Acer platanoides 'Deborah',Acer,45.491575,-73.578337,723.3600645
909,40305,fb47f67f-dac6-409d-ba26-49395b79e84c,12/11/2019 12:00:00 AM,Public,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,S73,15,ACPLDE,Deborah Norway Maple,Acer platanoides 'Deborah',Acer,45.491619,-73.578421,723.3600645
910,40306,1be060c2-e36b-4afb-8c37-87ce0b1e0301,12/11/2019 12:00:00 AM,Public,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,S73,16,ACPLDE,Deborah Norway Maple,Acer platanoides 'Deborah',Acer,45.491665,-73.578496,723.3600645
911,40307,a16d0b9a-c370-448c-9629-a5701ba00de6,12/11/2019 12:00:00 AM,Public,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,S73,14,ACPLDE,Deborah Norway Maple,Acer platanoides 'Deborah',Acer,45.491713,-73.578577,723.3600645
912,40308,b8b55af0-a74a-487e-9d3f-7e6a0b0c5708,12/11/2019 12:00:00 AM,Public,Parc,SAINT-MARC/RENÉ-LÉVESQUE,N/A,S73,14,ACPLDE,Deborah Norway Maple,Acer platanoides 'Deborah',Acer,45.491766,-73.578645,723.3600645
4322,195945,9d90a5e0-3639-4086-b50f-c2d573066b58,4/20/2010 12:00:00 AM,Public,Street,Avenue Atwater,N/A,S110,5,ACPLDE,Deborah Norway Maple,Acer platanoides 'Deborah',Acer,45.490624,-73.586965,1777.440272
14211,205046,c540b6c1-84a6-4761-ade2-5cc2f0136138,3/6/2012 12:00:00 AM,Public,Street,Rue Sherbrooke Ouest,2162,S3,6,ACPLEQ,Emerald Queen Norway Maple,Acer platanoides 'Emerald Queen',Acer,45.492304,-73.586314,992.0535921
4224,195475,17c38087-d415-4bb3-94ec-e472d3cd85c8,1/23/2012 12:00:00 AM,Public,Street,Avenue Atwater,2021,S10,6,ACPLEQ,Emerald Queen Norway Maple,Acer platanoides 'Emerald Queen',Acer,45.490661,-73.586565,457.1318206
13214,204446,6f9cb94b-bd6f-4221-acfa-f0f24591d340,1/10/2012 12:00:00 AM,Public,Street,Rue Saint-Mathieu,1185,S62,26,ACPLEQ,Emerald Queen Norway Maple,Acer platanoides 'Emerald Queen',Acer,45.492971,-73.577573,1681.479666
13040,204264,11d32f1f-6340-41e2-9a38-c6f482ad4265,1/10/2012 12:00:00 AM,Public,Street,Rue Saint-Mathieu,1220,S64,7,ACPLEQ,Emerald Queen Norway Maple,Acer platanoides 'Emerald Queen',Acer,45.493066,-73.578086,459.8356318
14338,205173,f1efb16f-2228-4fa1-8f15-47bcc5ba7b54,4/12/2012 12:00:00 AM,Public,Street,Rue Towers,1420,S86,14,ACPLEQ,Emerald Queen Norway Maple,Acer platanoides 'Emerald Queen',Acer,45.492865,-73.581971,590.3660653
