"","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"1422","Dawson",1,"Private","Private","Y","Y142","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",30.2,"N","Y","USDA/TC/LM",""
"1423","Dawson",1,"Private","Private","Y","Y143","PR","PRVI","PRVI","Prunus virginiana","Chokecherry",5.8,"Y","Y","USDA/TC/LM","Synonym: Common chokecherry"
"1424","Dawson",1,"Private","Private","Y","Y143","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",7.6,"Y","Y","USDA/TC/LM",""
"1425","Dawson",1,"Private","Private","Y","Y143","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",4.8,"Y","Y","USDA/TC/LM",""
"1426","Dawson",1,"Private","Private","Y","Y143","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",8.6,"Y","Y","USDA/TC/LM",""
"1427","Dawson",1,"Private","Private","Y","Y143","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",5.1,"Y","Y","USDA/TC/LM",""
"1428","Dawson",1,"Private","Private","Y","Y143","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",8,"Y","Y","USDA/TC/LM",""
"1429","Dawson",1,"Private","Private","Y","Y143","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",8.6,"Y","Y","USDA/TC/LM",""
"1430","Dawson",1,"Private","Private","Y","Y143","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",4.8,"Y","Y","USDA/TC/LM",""
"1431","Dawson",1,"Private","Private","Y","Y143","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",6.3,"Y","Y","USDA/TC/LM",""
"1432","Dawson",1,"Private","Private","Y","Y143","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",3.8,"Y","Y","USDA/TC/LM",""
"1433","Dawson",1,"Private","Private","Y","Y143","PR","PRVI","PRVI","Prunus virginiana","Chokecherry",8.2,"Y","Y","USDA/TC/LM","Synonym: Common chokecherry"
"1434","Dawson",1,"Private","Private","Y","Y143","AC","ACPL","ACPL","Acer platanoides","Norway Maple",65.4,"N","N","USDA/TC",""
"1435","Dawson",1,"Private","Private","Y","Y143","PR","PRVI","PRVI","Prunus virginiana","Chokecherry",16.2,"Y","Y","USDA/TC/LM","Synonym: Common chokecherry"
"1436","Dawson",1,"Private","Private","Y","Y143","AM","AMCA","AMCA","Amelanchier canadensis","Downy Serviceberry",5,"Y","Y","USDA/TC/LM","Synonym: Amelanchier arborea"
"1437","Dawson",1,"Private","Private","Y","Y143","AM","AMAR","AMAR","Amelanchier arborea","",10,"Y","Y","Nhttps://www.fs.fed.us/database/feis/plants/tree/amearb/all.htmlA",""
"1438","Dawson",1,"Private","Private","Y","Y143","AM","AMAR","AMAR","Amelanchier arborea","",8.8,"Y","Y","Nhttps://www.fs.fed.us/database/feis/plants/tree/amearb/all.htmlA",""
"1439","Dawson",1,"Private","Private","Y","Y143","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",9.9,"Y","Y","USDA/TC/LM",""
"1440","Dawson",1,"Private","Private","Y","Y143","AC","ACPL","ACPL","Acer platanoides","Norway Maple",11.2,"N","N","USDA/TC",""
"1441","Dawson",1,"Private","Private","Y","Y143","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",8.6,"Y","Y","USDA/TC/LM",""
"1442","Dawson",1,"Private","Private","Y","Y143","AM","AMAR","AMAR","Amelanchier arborea","",7,"Y","Y","Nhttps://www.fs.fed.us/database/feis/plants/tree/amearb/all.htmlA",""
"1443","Dawson",1,"Private","Private","Y","Y143","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",8.8,"Y","Y","USDA/TC/LM",""
"1444","Dawson",1,"Private","Private","Y","Y143","AM","AMAR","AMAR","Amelanchier arborea","",8,"Y","Y","Nhttps://www.fs.fed.us/database/feis/plants/tree/amearb/all.htmlA",""
"1445","Dawson",1,"Private","Private","Y","Y143","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",6.2,"Y","Y","USDA/TC/LM",""
"1446","Dawson",1,"Private","Private","Y","Y143","AC","ACPL","ACPL","Acer platanoides","Norway Maple",15.3,"N","N","USDA/TC",""
"1447","Dawson",1,"Private","Private","Y","Y143","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",4.8,"Y","Y","USDA/TC/LM",""
"1448","Dawson",1,"Private","Private","Y","Y143","AM","AMAR","AMAR","Amelanchier arborea","",11.9,"Y","Y","Nhttps://www.fs.fed.us/database/feis/plants/tree/amearb/all.htmlA",""
"1449","Dawson",1,"Private","Private","Y","Y143","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",14.1,"Y","Y","USDA/TC/LM",""
"1450","Dawson",1,"Private","Private","Y","Y143","AM","AMAR","AMAR","Amelanchier arborea","",7.3,"Y","Y","Nhttps://www.fs.fed.us/database/feis/plants/tree/amearb/all.htmlA",""
"1451","Dawson",1,"Private","Private","Y","Y143","QU","QURU","QURU","Quercus rubra","Red Oak",123.2,"Y","Y","TC/LM",""
"1452","Dawson",1,"Private","Private","Y","Y143","SY","SYVU","SYVU","Syringa vulgaris","Common Lilac",4.8,"N","N","USDA/TC/Mortens",""
"1453","Dawson",1,"Private","Private","Y","Y143","AC","ACPL","ACPL","Acer platanoides","Norway Maple",45.8,"N","N","USDA/TC",""
"1454","Dawson",1,"Private","Private","Y","Y143","AM","AMAR","AMAR","Amelanchier arborea","",7.1,"Y","Y","Nhttps://www.fs.fed.us/database/feis/plants/tree/amearb/all.htmlA",""
"1455","Dawson",1,"Private","Private","Y","Y143","SY","SYVU","SYVU","Syringa vulgaris","Common Lilac",17,"N","N","USDA/TC/Mortens",""
"1456","Dawson",1,"Private","Private","Y","Y143","AC","ACPL","ACPL","Acer platanoides","Norway Maple",86.5,"N","N","USDA/TC",""
"1457","Dawson",1,"Private","Private","Y","Y143","SY","SYVU","SYVU","Syringa vulgaris","Common Lilac",9.4,"N","N","USDA/TC/Mortens",""
"1458","Dawson",1,"Private","Private","Y","Y143","AC","ACPL","ACPL","Acer platanoides","Norway Maple",9.1,"N","N","USDA/TC",""
"1459","Dawson",1,"Private","Private","Y","Y143","UL","ULAM","ULAM","Ulmus americana","White Elm",18.6,"Y","Y","USDA/TC/LM",""
"1460","Dawson",1,"Private","Private","Y","Y143","SY","SYVU","SYVU","Syringa vulgaris","Common Lilac",5.6,"N","N","USDA/TC/Mortens",""
"1461","Dawson",1,"Private","Private","Y","Y143","SY","SYVU","SYVU","Syringa vulgaris","Common Lilac",6.1,"N","N","USDA/TC/Mortens",""
"1462","Dawson",1,"Private","Private","Y","Y143","AC","ACPL","ACPL","Acer platanoides","Norway Maple",48.1,"N","N","USDA/TC",""
"1463","Dawson",1,"Private","Private","Y","Y144","AC","ACPL","ACPL","Acer platanoides","Norway Maple",28.6,"N","N","USDA/TC",""
"1464","Dawson",1,"Private","Private","Y","Y144","AC","ACPL","ACPL","Acer platanoides","Norway Maple",25.3,"N","N","USDA/TC",""
"1465","Dawson",1,"Private","Private","Y","Y144","AC","ACPL","ACPL","Acer platanoides","Norway Maple",30.95,"N","N","USDA/TC",""
"1466","Dawson",1,"Private","Private","Y","Y144","MA","MAIO","MAIO","Malus ioensis","",26.9,"N","Y","http://bonap.net/Napa/TaxonMaps/Genus/County/Malus",""
"1467","Dawson",1,"Private","Private","Y","Y144","MA","MAIO","MAIO","Malus ioensis","",32.4,"N","Y","http://bonap.net/Napa/TaxonMaps/Genus/County/Malus",""
"1468","Dawson",1,"Private","Private","Y","Y144","MA","MAIO","MAIO","Malus ioensis","",21.25,"N","Y","http://bonap.net/Napa/TaxonMaps/Genus/County/Malus",""
"1469","Dawson",1,"Private","Private","Y","Y144","MA","MAIO","MAIO","Malus ioensis","",42.9,"N","Y","http://bonap.net/Napa/TaxonMaps/Genus/County/Malus",""
"1470","Dawson",1,"Private","Private","Y","Y144","MA","MAIO","MAIO","Malus ioensis","",48.55,"N","Y","http://bonap.net/Napa/TaxonMaps/Genus/County/Malus",""
"1471","Dawson",1,"Private","Private","Y","Y144","MA","MAIO","MAIO","Malus ioensis","",42.1,"N","Y","http://bonap.net/Napa/TaxonMaps/Genus/County/Malus",""
"1472","Dawson",1,"Private","Private","Y","Y144","AC","ACPL","ACPL","Acer platanoides","Norway Maple",24.6,"N","N","USDA/TC",""
"1473","Dawson",1,"Private","Private","Y","Y144","AC","ACPL","ACPL","Acer platanoides","Norway Maple",25,"N","N","USDA/TC",""
"1474","Dawson",1,"Private","Private","Y","Y145","PI","PIPU","PIPU","Picea pungens","Colorado Spruce",12.5,"N","N","USDA/TC/LM",""
"1475","Dawson",1,"Private","Private","Y","Y146","SY","SYVU","SYVU","Syringa vulgaris","Common Lilac",23.1,"N","N","USDA/TC/Mortens",""
"1476","Dawson",1,"Private","Private","Y","Y146","RH","RHCA","RHCA","Rhamnus cathartica","European Buckthorn",20.2,"N","N","USDA/TC/Mortens",""
"1477","Dawson",1,"Private","Private","Y","Y146","CG","CGPU","CGPU","Crataegus punctata","Dotted Hawthorn",3.6,"Y","Y","USDA/TC/NRC/ http://www.efloras.org/object_page.aspx?object_id=126879&flora_id=1 / https://www.wildflower.org/plants/result.php?id_plant=CRPU","Refer to websites in Origin Source column: found in Quebec and Ontario therefore deemed native to the saint-Laurence Lowlands (KP)"
"1478","Dawson",1,"Private","Private","Y","Y147","TI","TICO","TICO","Tilia cordata","Littleleaf European Linden",55.5,"N","N","USDA",""
"1479","Dawson",1,"Private","Private","Y","Y147","SY","SYRE","SYRE","Syringa reticulata","Japanese Tree Lilac",18.3,"N","N","USDA/Mortens",""
"1480","Dawson",1,"Private","Private","Y","Y147","SY","SYVU","SYVU","Syringa vulgaris","Common Lilac",21.2,"N","N","USDA/TC/Mortens",""
"1481","Dawson",1,"Private","Private","Y","Y147","AC","ACPL","ACPL","Acer platanoides","Norway Maple",51.1,"N","N","USDA/TC",""
"1482","Dawson",1,"Private","Private","Y","Y147","AM","AMCA","AMCA","Amelanchier canadensis","Downy Serviceberry",10.8,"Y","Y","USDA/TC/LM","Synonym: Amelanchier arborea"
"1483","Dawson",1,"Private","Private","Y","Y147","SA","SACA","SACA","Sambucus canadensis","",7,"Y","Y",NA,""
"1484","Dawson",1,"Private","Private","Y","Y148","AC","ACPL","ACPL","Acer platanoides","Norway Maple",35.2,"N","N","USDA/TC",""
"1485","Dawson",1,"Private","Private","Y","Y149","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",15.7,"Y","Y","USDA/TC/LM",""
"1486","Dawson",1,"Private","Private","Y","Y149","PR","PRDO","PRDO","Prunus domestica","Garden Plum",22.8,"N","N","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6312543/",""
"1487","Dawson",1,"Private","Private","Y","Y149","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",9,"Y","Y","USDA/TC/LM",""
"1488","Dawson",1,"Private","Private","Y","Y149","PR","PRDO","PRDO","Prunus domestica","Garden Plum",7.2,"N","N","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6312543/",""
"1489","Dawson",1,"Private","Private","Y","Y149","SY","SYVU","SYVU","Syringa vulgaris","Common Lilac",20.9,"N","N","USDA/TC/Mortens",""
"1490","Dawson",1,"Private","Private","Y","Y149","SY","SYVU","SYVU","Syringa vulgaris","Common Lilac",12.8,"N","N","USDA/TC/Mortens",""
"1491","Dawson",1,"Private","Private","Y","Y149","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",36.9,"Y","Y","USDA/TC/LM",""
"1492","Dawson",1,"Private","Private","Y","Y149","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",5.4,"Y","Y","USDA/TC/LM",""
"1493","Dawson",1,"Private","Private","Y","Y149","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",10.7,"N","Y","USDA/TC/LM/Mortens",""
"1494","Dawson",1,"Private","Private","Y","Y149","PN","PNRE","PNRE","Pinus resinosa","Red Pine",74.4,"Y","Y","USDA/TC/LM",""
"1495","Dawson",1,"Private","Private","Y","Y149","SY","SYVU","SYVU","Syringa vulgaris","Common Lilac",24.6,"N","N","USDA/TC/Mortens",""
"1496","Dawson",1,"Private","Private","Y","Y149","SY","SYRE","SYRE","Syringa reticulata","Japanese Tree Lilac",18.7,"N","N","USDA/Mortens",""
"1497","Dawson",1,"Private","Private","Y","Y149","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",11.5,"Y","Y","USDA/TC/LM",""
"1498","Dawson",1,"Private","Private","Y","Y149","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",10.5,"Y","Y","USDA/TC/LM",""
"1499","Dawson",1,"Private","Private","Y","Y149","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",11.8,"Y","Y","USDA/TC/LM",""
"1500","Dawson",1,"Private","Private","Y","Y149","AC","ACPA","ACPA","Acer palmatum","Japanese Maple",9.9,"N","N","USDA/TC/Mortens",""
"1501","Dawson",1,"Private","Private","Y","Y149","SY","SYVU","SYVU","Syringa vulgaris","Common Lilac",18.4,"N","N","USDA/TC/Mortens",""
"1502","Dawson",1,"Private","Private","Y","Y149","MA","MASY","MASY","Malus sylvestris","Crab Apple",18.6,"N","N","USDA/TC","Synonym: Malus pumila & Malus domestica"
"1503","Dawson",1,"Private","Private","Y","Y149","MA","MASY","MASY","Malus sylvestris","Crab Apple",12.7,"N","N","USDA/TC","Synonym: Malus pumila & Malus domestica"
"1504","Dawson",1,"Private","Private","Y","Y149","PN","PNRE","PNRE","Pinus resinosa","Red Pine",21,"Y","Y","USDA/TC/LM",""
"1505","Dawson",1,"Private","Private","Y","Y149","PN","PNRE","PNRE","Pinus resinosa","Red Pine",15.3,"Y","Y","USDA/TC/LM",""
"1506","Dawson",1,"Private","Private","Y","Y149","PN","PNRE","PNRE","Pinus resinosa","Red Pine",17.8,"Y","Y","USDA/TC/LM",""
"1507","Dawson",1,"Private","Private","Y","Y149","PN","PNRE","PNRE","Pinus resinosa","Red Pine",18.1,"Y","Y","USDA/TC/LM",""
"1508","Dawson",1,"Private","Private","Y","Y149","PI","PIPU","PIPU","Picea pungens","Colorado Spruce",15.7,"N","N","USDA/TC/LM",""
"1509","Dawson",1,"Private","Private","Y","Y149","AC","ACPL","ACPL","Acer platanoides","Norway Maple",107.8,"N","N","USDA/TC",""
"1510","Dawson",1,"Private","Private","Y","Y150","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",5.9,"N","Y","USDA/TC/LM/Mortens",""
"1511","Dawson",1,"Private","Private","Y","Y150","JU","JUVI","JUVI","Juniperus virginiana","",12.3,"Y","Y","https://www.fs.fed.us/database/feis/plants/tree/junvir/all.html",""
"1512","Dawson",1,"Private","Private","Y","Y150","SY","SYVU","SYVU","Syringa vulgaris","Common Lilac",75.7,"N","N","USDA/TC/Mortens",""
"1513","Dawson",1,"Private","Private","Y","Y151","TA","TACA","TACA","Taxus canadensis","Canadian Yew",18.5,"Y","Y","USDA/TC/LM",""
"1514","Dawson",1,"Private","Private","Y","Y151","TA","TACA","TACA","Taxus canadensis","Canadian Yew",16.1,"Y","Y","USDA/TC/LM",""
"1515","Dawson",1,"Private","Private","Y","Y151","TA","TACA","TACA","Taxus canadensis","Canadian Yew",14.3,"Y","Y","USDA/TC/LM",""
"1516","Dawson",1,"Private","Private","Y","Y151","AC","ACPL","ACPL","Acer platanoides","Norway Maple",48.9,"N","N","USDA/TC",""
"1517","Dawson",1,"Private","Private","Y","Y151","MO","MOAL","MOAL","Morus alba","White Mulberry",5,"N","N","USDA/TC/Mortens",""
"1518","Dawson",1,"Private","Private","Y","Y151","AC","ACPL","ACPL","Acer platanoides","Norway Maple",13.9,"N","N","USDA/TC",""
"1519","Dawson",1,"Private","Private","Y","Y151","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",5,"N","N","USDA/TC/LM",""
"1520","Dawson",1,"Private","Private","Y","Y151","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",28.4,"N","N","USDA/TC/LM",""
"1521","Dawson",1,"Private","Private","Y","Y151","AC","ACPL","ACPL","Acer platanoides","Norway Maple",5,"N","N","USDA/TC",""
"1522","Dawson",1,"Private","Private","Y","Y151","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",5,"N","N","USDA/TC/LM",""
"1523","Dawson",1,"Private","Private","Y","Y151","AC","ACPL","ACPL","Acer platanoides","Norway Maple",18,"N","N","USDA/TC",""
"1524","Dawson",1,"Private","Private","Y","Y151","AC","ACPL","ACPL","Acer platanoides","Norway Maple",10.9,"N","N","USDA/TC",""
"1525","Dawson",1,"Private","Private","Y","Y151","AC","ACPL","ACPL","Acer platanoides","Norway Maple",20.3,"N","N","USDA/TC",""
"1526","Dawson",1,"Private","Private","Y","Y151","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",14.8,"N","N","USDA/TC/LM",""
"1527","Dawson",1,"Private","Private","Y","Y151","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",22,"N","N","USDA/TC/LM",""
"1528","Dawson",1,"Private","Private","Y","Y151","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",5,"N","N","USDA/TC/LM",""
"1529","Dawson",1,"Private","Private","Y","Y151","UL","ULPU","ULPU","Ulmus pumila","Siberian Elm",6.1,"N","N","USDA/TC/LM",""
"1530","Dawson",1,"Private","Private","Y","Y151","AC","ACPL","ACPL","Acer platanoides","Norway Maple",7.4,"N","N","USDA/TC",""
"1531","Dawson",1,"Private","Private","Y","Y151","AC","ACPL","ACPL","Acer platanoides","Norway Maple",5,"N","N","USDA/TC",""
"1532","Dawson",1,"Private","Private","Y","Y151","AC","ACPL","ACPL","Acer platanoides","Norway Maple",5,"N","N","USDA/TC",""
"1533","Dawson",1,"Private","Private","Y","Y151","AC","ACPL","ACPL","Acer platanoides","Norway Maple",36,"N","N","USDA/TC",""
"1534","Dawson",1,"Private","Private","Y","Y151","BR","BRPA","BRPA","Broussonetia papyrifera","",5,"N","N","http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=200006341",""
"1535","Dawson",1,"Private","Private","Y","Y151","AC","ACPL","ACPL","Acer platanoides","Norway Maple",12.4,"N","N","USDA/TC",""
"1536","Dawson",1,"Private","Private","Y","Y151","AC","ACPL","ACPL","Acer platanoides","Norway Maple",5,"N","N","USDA/TC",""
"1537","Dawson",1,"Private","Private","Y","Y152","PN","PNNI","PNNI","Pinus nigra",NA,34.2,"N","N","USDA/TC/Mortens",NA
"1538","Dawson",1,"Private","Private","Y","Y152","PI","PIBA","PIBA","Pinus banksiana","",14.1,"Y","Y","https://srs.fs.usda.gov/pubs/misc/ag_654/volume_1/pinus/banksiana.htm",""
"1539","Dawson",1,"Private","Private","Y","Y152","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",26.6,"Y","Y","USDA/TC/LM",""
"1540","Dawson",1,"Private","Private","Y","Y152","TA","TACA","TACA","Taxus canadensis","Canadian Yew",29.4,"Y","Y","USDA/TC/LM",""
"1541","Dawson",1,"Private","Private","Y","Y152","CA","CAAB","CAAB","Caragana arborescens","",34.3,"N","N","https://treecanada.ca/resources/tree-killers/siberian-peashrub/",""
"1542","Dawson",1,"Private","Private","Y","Y152","TA","TACA","TACA","Taxus canadensis","Canadian Yew",23.9,"Y","Y","USDA/TC/LM",""
"1543","Dawson",1,"Private","Private","Y","Y152","TH","THOC","THOC","Thuja occidentalis","Eastern White Cedar",44.1,"Y","Y","USDA/TC/LM",""
"1544","Dawson",1,"Private","Private","Y","Y152","AC","ACPL","ACPL","Acer platanoides","Norway Maple",18.2,"N","N","USDA/TC",""
"1545","Dawson",1,"Private","Private","Y","Y152","UL","ULRU","ULRU","Ulmus rubra","",33.6,"Y","Y","https://www.fs.fed.us/database/feis/plants/tree/ulmrub/all.html",""
"1546","Dawson",1,"Private","Private","Y","Y152","AC","ACPL","ACPL","Acer platanoides","Norway Maple",51.1,"N","N","USDA/TC",""
"1547","Dawson",1,"Private","Private","Y","Y152","PR","PRAV","PRAV","Prunus avium ","Sweet cherry",4.4,"N","N","USDA/TC",""
"1548","Dawson",1,"Private","Private","Y","Y152","TA","TACA","TACA","Taxus canadensis","Canadian Yew",24.7,"Y","Y","USDA/TC/LM",""
"1549","Dawson",1,"Private","Private","Y","Y152","AC","ACPL","ACPL","Acer platanoides","Norway Maple",41,"N","N","USDA/TC",""
"1550","Dawson",1,"Private","Private","Y","Y152","TA","TACA","TACA","Taxus canadensis","Canadian Yew",12.4,"Y","Y","USDA/TC/LM",""
"1551","Dawson",1,"Private","Private","Y","Y152","TI","TICO","TICO","Tilia cordata","Littleleaf European Linden",38.7,"N","N","USDA",""
"1552","Dawson",1,"Private","Private","Y","Y152","TI","TICO","TICO","Tilia cordata","Littleleaf European Linden",27.3,"N","N","USDA",""
"1553","Dawson",1,"Private","Private","Y","Y152","TI","TICO","TICO","Tilia cordata","Littleleaf European Linden",21.7,"N","N","USDA",""
"1554","Dawson",1,"Private","Private","Y","Y152","PI","PIMA","PIMA","Picea mariana","Black spruce",21.3,"Y","Y","USDA/TC/LM",""
"1555","Dawson",1,"Private","Private","Y","Y152","PI","PIMA","PIMA","Picea mariana","Black spruce",27.6,"Y","Y","USDA/TC/LM",""
"1556","Dawson",1,"Private","Private","Y","Y152","PI","PIAB","PIAB","Picea abies","Norway Spruce",15.5,"N","N","USDA/TC/Mortens",""
"1557","Dawson",1,"Private","Private","Y","Y152","TI","TICO","TICO","Tilia cordata","Littleleaf European Linden",23.3,"N","N","USDA",""
"1558","Dawson",1,"Private","Private","Y","Y152","AC","ACPL","ACPL","Acer platanoides","Norway Maple",96.7,"N","N","USDA/TC",""
"1559","Dawson",1,"Private","Private","Y","Y152","PI","PIMA","PIMA","Picea mariana","Black spruce",12.7,"Y","Y","USDA/TC/LM",""
"1560","Dawson",1,"Private","Private","Y","Y152","AC","ACPL","ACPL","Acer platanoides","Norway Maple",26.2,"N","N","USDA/TC",""
"1561","Dawson",1,"Private","Private","Y","Y152","AC","ACPL","ACPL","Acer platanoides","Norway Maple",59.3,"N","N","USDA/TC",""
"1562","Dawson",1,"Private","Private","Y","Y152","RH","RHCA","RHCA","Rhamnus cathartica","European Buckthorn",5.1,"N","N","USDA/TC/Mortens",""
"1563","Dawson",1,"Private","Private","Y","Y152","AC","ACPL","ACPL","Acer platanoides","Norway Maple",25.6,"N","N","USDA/TC",""
"1564","Dawson",1,"Private","Private","Y","Y152","AC","ACPL","ACPL","Acer platanoides","Norway Maple",125.8,"N","N","USDA/TC",""
"1565","Dawson",1,"Private","Private","Y","Y152","AC","ACPL","ACPL","Acer platanoides","Norway Maple",57.3,"N","N","USDA/TC",""
"1566","Dawson",1,"Private","Private","Y","Y152","AC","ACPL","ACPL","Acer platanoides","Norway Maple",76.7,"N","N","USDA/TC",""
"1567","Dawson",1,"Private","Private","Y","Y152","UL","ULAM","ULAM","Ulmus americana","White Elm",6.5,"Y","Y","USDA/TC/LM",""
"1568","Dawson",1,"Private","Private","Y","Y152","AC","ACPL","ACPL","Acer platanoides","Norway Maple",29.2,"N","N","USDA/TC",""
"1569","Dawson",1,"Private","Private","Y","Y152","AC","ACPL","ACPL","Acer platanoides","Norway Maple",46.1,"N","N","USDA/TC",""
"1570","Dawson",1,"Private","Private","Y","Y152","AC","ACPL","ACPL","Acer platanoides","Norway Maple",79.1,"N","N","USDA/TC",""
"1571","Dawson",1,"Private","Private","Y","Y152","RH","RHCA","RHCA","Rhamnus cathartica","European Buckthorn",8,"N","N","USDA/TC/Mortens",""
"1572","Dawson",1,"Private","Private","Y","Y152","AC","ACPL","ACPL","Acer platanoides","Norway Maple",35,"N","N","USDA/TC",""
"1573","Dawson",1,"Private","Private","Y","Y152","PR","PRVI","PRVI","Prunus virginiana","Chokecherry",15.2,"Y","Y","USDA/TC/LM","Synonym: Common chokecherry"
"1574","Dawson",1,"Private","Private","Y","Y152","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",13.5,"N","Y","USDA/TC/LM/Mortens",""
"1575","Dawson",1,"Private","Private","Y","Y152","UL","ULAM","ULAM","Ulmus americana","White Elm",6.1,"Y","Y","USDA/TC/LM",""
"1576","Dawson",1,"Private","Private","Y","Y152","SY","SYVU","SYVU","Syringa vulgaris","Common Lilac",17.1,"N","N","USDA/TC/Mortens",""
"1577","Dawson",1,"Private","Private","Y","Y152","UL","ULAM","ULAM","Ulmus americana","White Elm",11.6,"Y","Y","USDA/TC/LM",""
"1578","Dawson",1,"Private","Private","Y","Y152","UL","ULAM","ULAM","Ulmus americana","White Elm",17.6,"Y","Y","USDA/TC/LM",""
"1579","Dawson",1,"Private","Private","Y","Y153","MA","MAIO","MAIO","Malus ioensis","",73.3,"N","Y","http://bonap.net/Napa/TaxonMaps/Genus/County/Malus",""
"1580","Dawson",1,"Private","Private","Y","Y153","TA","TACA","TACA","Taxus canadensis","Canadian Yew",26.95,"Y","Y","USDA/TC/LM",""
"1581","Dawson",1,"Private","Private","Y","Y154","TI","TIAM","TIAMHE","Tilia americana var. heterophylla",NA,95,"Y","Y","USDA/TC/LM",NA
"1582","Dawson",1,"Private","Private","Y","Y154","RO","ROPS","ROPS","Robinia pseudoacacia","Black Locust",52.85,"N","Y","TC/lLM/Mortens",""
"1583","Dawson",1,"Private","Private","Y","Y154","SY","SYRE","SYRE","Syringa reticulata","Japanese Tree Lilac",19.7,"N","N","USDA/Mortens",""
"1584","Dawson",1,"Private","Private","Y","Y154","GL","GLTR","GLTR","Gleditsia triacanthos","Common Honey-Locust",11.1,"N","Y","USDA/TC/LM",""
"1585","Dawson",1,"Private","Private","Y","Y154","PI","PIMA","PIMA","Picea mariana","Black spruce",10.8,"Y","Y","USDA/TC/LM",""
"1586","Dawson",1,"Private","Private","Y","Y155","BE","BEPA","BEPA","Betula papyrifera","Paper Birch",9.5,"Y","Y","USDA/TC/LM",""
"1587","Dawson",1,"Private","Private","Y","Y155","BE","BEPA","BEPA","Betula papyrifera","Paper Birch",10.25,"Y","Y","USDA/TC/LM",""
"1588","Dawson",1,"Private","Private","Y","Y155","BE","BEPA","BEPA","Betula papyrifera","Paper Birch",5,"Y","Y","USDA/TC/LM",""
"1589","Dawson",1,"Private","Private","Y","Y155","BE","BEPA","BEPA","Betula papyrifera","Paper Birch",40.15,"Y","Y","USDA/TC/LM",""
"1590","Dawson",1,"Private","Private","Y","Y155","BE","BEPA","BEPA","Betula papyrifera","Paper Birch",11.85,"Y","Y","USDA/TC/LM",""
"1591","Dawson",1,"Private","Private","Y","Y155","BE","BEPA","BEPA","Betula papyrifera","Paper Birch",6,"Y","Y","USDA/TC/LM",""
"1592","Dawson",1,"Private","Private","Y","Y155","AC","ACPA","ACPA","Acer palmatum","Japanese Maple",11.6,"N","N","USDA/TC/Mortens",""
"1593","Dawson",1,"Private","Private","Y","Y155","PI","PIRU","PIRU","Picea rubens","Red Spruce",52.7,"Y","Y","USDA/TC/LM",""
"1594","Dawson",1,"Private","Private","Y","Y156","GI","GIBI","GIBI","Ginkgo biloba","Maidenhair Tree",20.7,"N","N","Mortens/TC/USDA",""
"1595","Dawson",1,"Private","Private","Y","Y156","RO","ROPS","ROPS","Robinia pseudoacacia","Black Locust",37,"N","Y","TC/lLM/Mortens",""
"1596","Dawson",1,"Private","Private","Y","Y156","LA","LADE","LADE","Larix decidua","European Larch",37,"N","N","USDA/TC/Mortens",""
"1597","Dawson",1,"Private","Private","Y","Y156","PI","PIGL","PIGL","Picea glauca","White Spruce",4.5,"Y","Y","USDA/TC/LM",""
