"","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"54","Dawson",1,"Public","Alley","A","A12","PR","PRVI","PRVI","Prunus virginiana","Chokecherry",17.5,"Y","Y","USDA/TC/LM","Synonym: Common chokecherry"
"55","Dawson",1,"Public","Alley","A","A12","PR","PRVI","PRVI","Prunus virginiana","Chokecherry",5.1,"Y","Y","USDA/TC/LM","Synonym: Common chokecherry"
"56","Dawson",1,"Public","Alley","A","A12","PR","PRVI","PRVI","Prunus virginiana","Chokecherry",9.9,"Y","Y","USDA/TC/LM","Synonym: Common chokecherry"
"57","Dawson",1,"Public","Alley","A","A12","LO","LOPE","LOPE","Lonicera periclymenum","",20.1,"N","N","https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=372017&isprofile=0&=",""
"58","Dawson",1,"Public","Alley","A","A12","LO","LOPE","LOPE","Lonicera periclymenum","",37.3,"N","N","https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=372017&isprofile=0&=",""
"59","Dawson",1,"Public","Alley","A","A13","RH","RHGL","RHGL","Rhus glabra","",4.6,"Y","Y","https://plants.sc.egov.usda.gov/home/plantProfile?symbol=RHGL",""
"60","Dawson",1,"Public","Alley","A","A13","UL","ULAM","ULAM","Ulmus americana","White Elm",4.2,"Y","Y","USDA/TC/LM",""
"61","Dawson",1,"Public","Alley","A","A13","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",4.9,"N","Y","USDA/TC/LM/Mortens",""
"62","Dawson",1,"Public","Alley","A","A13","UL","ULAM","ULAM","Ulmus americana","White Elm",5.1,"Y","Y","USDA/TC/LM",""
"63","Dawson",1,"Public","Alley","A","A13","UL","ULAM","ULAM","Ulmus americana","White Elm",6,"Y","Y","USDA/TC/LM",""
"64","Dawson",1,"Public","Alley","A","A13","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",29.9,"N","Y","USDA/TC/LM/Mortens",""
"65","Dawson",1,"Public","Alley","A","A13","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",4.8,"N","Y","USDA/TC/LM/Mortens",""
"66","Dawson",1,"Public","Alley","A","A11","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",30.4,"N","Y","USDA/TC/LM/Mortens",""
"67","Dawson",1,"Public","Alley","A","A11","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",34.3,"N","Y","USDA/TC/LM/Mortens",""
"68","Dawson",1,"Public","Alley","A","A11","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",36.9,"N","Y","USDA/TC/LM/Mortens",""
"69","Dawson",1,"Public","Alley","A","A11","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",35.2,"N","Y","USDA/TC/LM/Mortens",""
"70","Dawson",1,"Public","Alley","A","A11","AC","ACNE","ACNE","Acer negundo","Manitoba Maple",45.1,"N","Y","USDA/TC/LM/Mortens",""
