"","X","Plot","Plot.code","Classification","GS.Type","Site.Type","Site.Code","Genus.Code","Species.Code","Cultivar.Code","Species.Latin","Species.Common","DBH","Native_SLL","Native_ETF","Origin.Source","Comments"
"176",189,"Dawson",1,"Private","Private","Y","Y155","AC","ACPA","ACPA","Acer palmatum","Japanese Maple",11.6,"N","N","USDA/TC/Mortens",""
"177",190,"Dawson",1,"Private","Private","Y","Y156","AC","ACPA","ACPA","Acer palmatum","Japanese Maple",12.4,"N","N","USDA/TC/Mortens",""
"178",191,"Dawson",1,"Private","Private","Y","Y156","AC","ACPA","ACPA","Acer palmatum","Japanese Maple",7.4,"N","N","USDA/TC/Mortens",""
"179",192,"Dawson",1,"Private","Private","Y","Y161","AC","ACPA","ACPA","Acer palmatum","Japanese Maple",7.3,"N","N","USDA/TC/Mortens",""
"282",296,"Dawson",1,"Private","Private","Y","Y16","AC","ACPL","ACPL","Acer platanoides","Norway Maple",8.4,"N","N","USDA/TC",""
"283",297,"Dawson",1,"Private","Private","Y","Y19","AC","ACPL","ACPL","Acer platanoides","Norway Maple",39.6,"N","N","USDA/TC",""
"284",298,"Dawson",1,"Private","Private","Y","Y19","AC","ACPL","ACPL","Acer platanoides","Norway Maple",39.8,"N","N","USDA/TC",""
"285",299,"Dawson",1,"Private","Private","Y","Y23","AC","ACPL","ACPL","Acer platanoides","Norway Maple",47.3,"N","N","USDA/TC",""
"286",300,"Dawson",1,"Private","Private","Y","Y11","AC","ACPL","ACPL","Acer platanoides","Norway Maple",46,"N","N","USDA/TC",""
"287",301,"Dawson",1,"Private","Private","Y","Y11","AC","ACPL","ACPL","Acer platanoides","Norway Maple",42.4,"N","N","USDA/TC",""
"288",302,"Dawson",1,"Private","Private","Y","Y11","AC","ACPL","ACPL","Acer platanoides","Norway Maple",49.7,"N","N","USDA/TC",""
"289",303,"Dawson",1,"Private","Private","Y","Y11","AC","ACPL","ACPL","Acer platanoides","Norway Maple",38.7,"N","N","USDA/TC",""
"290",304,"Dawson",1,"Private","Private","Y","Y11","AC","ACPL","ACPL","Acer platanoides","Norway Maple",44.3,"N","N","USDA/TC",""
"291",305,"Dawson",1,"Private","Private","Y","Y29","AC","ACPL","ACPL","Acer platanoides","Norway Maple",25,"N","N","USDA/TC",""
"292",306,"Dawson",1,"Private","Private","Y","Y37","AC","ACPL","ACPL","Acer platanoides","Norway Maple",32,"N","N","USDA/TC",""
"293",307,"Dawson",1,"Private","Private","Y","Y41","AC","ACPL","ACPL","Acer platanoides","Norway Maple",52.5,"N","N","USDA/TC",""
"294",308,"Dawson",1,"Private","Private","Y","Y44","AC","ACPL","ACPL","Acer platanoides","Norway Maple",32,"N","N","USDA/TC",""
"295",309,"Dawson",1,"Private","Private","Y","Y86","AC","ACPL","ACPL","Acer platanoides","Norway Maple",57,"N","N","USDA/TC",""
"296",310,"Dawson",1,"Private","Private","Y","Y86","AC","ACPL","ACPL","Acer platanoides","Norway Maple",37,"N","N","USDA/TC",""
"297",311,"Dawson",1,"Private","Private","Y","Y89","AC","ACPL","ACPL","Acer platanoides","Norway Maple",37.6,"N","N","USDA/TC",""
"298",312,"Dawson",1,"Private","Private","Y","Y92","AC","ACPL","ACPL","Acer platanoides","Norway Maple",34.1,"N","N","USDA/TC",""
"299",313,"Dawson",1,"Private","Private","Y","Y104","AC","ACPL","ACPL","Acer platanoides","Norway Maple",47.3,"N","N","USDA/TC",""
"300",314,"Dawson",1,"Private","Private","Y","Y112","AC","ACPL","ACPL","Acer platanoides","Norway Maple",19.5,"N","N","USDA/TC",""
"301",315,"Dawson",1,"Private","Private","Y","Y112","AC","ACPL","ACPL","Acer platanoides","Norway Maple",41.6,"N","N","USDA/TC",""
"302",316,"Dawson",1,"Private","Private","Y","Y113","AC","ACPL","ACPL","Acer platanoides","Norway Maple",77.6,"N","N","USDA/TC",""
"303",317,"Dawson",1,"Private","Private","Y","Y113","AC","ACPL","ACPL","Acer platanoides","Norway Maple",68.1,"N","N","USDA/TC",""
